h;x;y;Vpinput;Vpoutput;Vs;Ro;Q;An;Bi;CPx;Ol;Amf;OPx;Alb;Ort;Gr;Sio2;tiO2;al2O3;fe2O3;feO;mnO;mgO;caO;na2O;k2O;h2O
10;191,52;49,36;6,26;6,309018283;3,515786864;3,190641861;0,013892115;0,000329608;0,554529242;0,003675384;0,001016335;1,86E-06;0,426494745;6,47E-06;1,42E-05;4,00E-05;42,60443231;1,638197167;9,584886838;3,868824032;21,40899751;0,362298702;12,40746902;1,08522153;0,311576649;4,608300785;1,28478189
4;187,54;49,32;6,21;6,270770217;3,667188109;2,6130899;0,165841279;0,000418213;0,025165172;0,022076848;0,00055966;0,021648104;0,001113674;0,744859376;0,016385599;0,001932076;71,07468888;0,109004144;15,97302445;0,441334284;0,947071333;0,058716659;0,909266236;1,106957125;8,355350161;2,54734637;0,399905281
14;185,55;49,3;6,36;6,533430783;4,140738613;2,801060827;0,596741112;0,005980457;0,00311825;0,12363867;0,112785139;0,000182809;0,001330252;0,155119248;0,000811742;0,000292321;81,35847718;0,066915371;3,687489905;0,451719845;2,937505909;0,104209475;6,520361124;2,846583172;1,81638621;0,207421371;0,103664685
10;183,56;49,28;6,28;6,443712427;3,485602482;3,31548924;3,20E-06;2,07E-06;0,646038433;0,019480206;0,00014856;7,63E-05;0,00367122;1,75E-05;0,00035116;0,330211369;37,1956662;1,895793109;16,6109908;4,282330203;18,5166142;0,861621658;8,109306836;4,240995236;0,346648183;5,389372061;1,419634723
16;183,56;49,28;6,35;6,346767811;3,46597225;2,784417851;3,40E-05;0,003585511;0,264721893;0,034896551;0,14753416;1,94E-05;0,001487601;0,000158501;0,547220894;0,000341534;52,50336159;0,761971222;15,08646628;1,548954841;6,897494679;0,154040921;9,675773834;1,434833133;1,799910863;69,10869056;0,765579752
4;181,57;49,26;6,15;6,28497252;4,21696505;2,669510883;0,903791731;0,000565697;0,001180412;0,000142979;0,017978396;0,000157074;0,002962603;0,069329345;0,000565306;0,003326455;96,15588649;0,006765313;1,513792228;0,064301767;0,459312052;0,020357539;0,871131502;0,090453867;0,773553702;0,11035004;0,034058539
8;181,57;49,26;6,26;6,335997951;3,576028991;2,619154457;0,000453687;0,000232575;0,007816538;0,000281865;0,027285911;0,02946536;0,001131015;0,909985359;0,007509192;0,015838497;65,30921673;0,068312341;19,13040123;0,466964238;1,293420701;0,097752021;1,784041944;0,922854737;10,15308411;1,396490326;0,449857758
12;181,57;49,26;6,3;6,498464486;3,697620258;2,742348076;0,119602427;0,001605764;0,003116437;0,000511586;0,000226003;0,35281573;0,000713853;0,002120629;0,518653767;0,000633803;61,69367622;0,435023125;13,85141787;1,574579427;4,243942187;0,105729219;3,437380294;4,080137905;2,128858576;63,69224544;1,190940377
8;175,6;49,2;6,22;6,394199335;4,030114314;2,828194378;0,568737008;0,001444498;0,001138613;6,58E-06;3,92E-05;6,85E-05;0,00175632;0,130681088;0,162655211;0,133472977;81,41003646;0,046762486;8,338209904;0,625566292;3,261180952;0,283877234;0,536032574;1,446067121;1,963572913;19,97415527;0,136418557
10;173,61;49,18;6,25;6,243389921;3,425981458;2,566690645;0,000885597;0,00012817;0,005824801;0,001896039;0,003443132;0,012429583;3,75E-05;0,011046405;0,964081865;0,000226869;63,6611901;0,042438342;19,09903488;0,32160363;0,398367627;0,011524111;0,424085796;0,698379139;3,047684797;117,967538;0,373884289
12;173,61;49,18;6,29;6,475077787;4,212619733;2,796337892;0,763078557;0,000540624;0,028581145;0,038099984;0,141215231;0,023349248;0,001808104;0,000171847;0,002913115;0,000242146;86,21911305;0,131744914;0,909398678;0,45828185;3,271729477;0,09499657;7,186441266;1,152496797;0,09834422;0,616135999;0,158372397
16;173,61;49,18;6,35;6,23186831;4,165428571;2,718790544;0,953953169;9,58E-07;2,56E-07;3,04E-06;0,03470979;0,000206342;0,001089102;9,28E-06;1,44E-06;0,010026623;97,20946463;0,005804305;0,202535126;0,080312687;0,796934621;0,037684484;1,571970962;0,111794246;0,006166938;0,003146183;0,009496553
16;171,62;49,16;6,35;6,437844304;3,554929115;3,080797789;0,006629299;0,001009669;0,357302193;0,005249407;0,009458874;0,022905117;0,002425734;0,352940441;0,00191106;0,240168206;48,54878888;1,093552677;17,63683068;2,777638128;11,97853676;0,620790589;5,30924822;3,207469174;4,148710545;3,364401658;0,996715299
12;169,63;49,14;6,27;6,442016541;3,655483287;2,846248943;0,005713926;0,005522125;0,106563341;0,002634546;0,051949926;0,001919218;0,192396257;0,62210233;0,000415382;0,010782948;58,78026192;0,354475805;14,9251835;1,359819424;8,418064292;0,201103169;6,541188827;0,890633998;6,984116318;1,222492068;0,532461334
14;167,64;49,12;6,28;6,402262372;4,198016579;2,776418558;0,815314523;0,025538668;0,001598442;0,124236269;0,019239469;0,003132891;0,001090047;0,000196417;0,003519779;0,006133494;90,43723416;0,06189605;1,415579665;0,359147272;1,673119574;0,065870104;2,4398147;3,202883518;0,116308881;0,460456329;0,046347732
14;165,65;49,1;6,24;6,293520726;4,163488696;2,781730455;0,846560117;6,64E-06;3,34E-06;5,19E-05;0,015378115;8,63E-05;0,110046165;0,027820794;9,13E-06;3,75E-05;92,53960018;0,027917592;0,735694476;0,380386557;3,44902963;0,064046484;2,380497436;0,127387502;0,329802377;0,027255883;0,047514951
10;163,66;49,08;6,13;6,330215349;4,139745279;2,699752824;0,814469905;0,162301272;0,001102747;0,010622352;0,000594517;0,005703029;0,004994776;9,57E-05;0,000105644;1,00E-05;89,75144436;0,019399783;5,859529977;0,138327504;0,341113037;0,008357625;0,316462341;3,32034752;0,114793947;0,04676948;0,102294963
12;163,66;49,08;6,18;6,151509217;3,283936832;3,164460787;0,000138456;0,018247074;0,748432815;0,026245556;0,00044017;0,00018368;0,000107034;0,000126586;0,000325339;0,205753292;37,16233461;2,143470466;16,57998175;4,244357732;17,16305016;0,631609325;8,779874881;3,648248248;0,381726029;6,215014089;1,613598068
16;163,66;49,08;6,3;6,261084759;3,416070166;2,762740284;0,000141079;0,210868006;0,309863114;0,018171737;0,00030405;0,017132102;0,004747396;0,410821146;0,012801743;0,015149626;51,63017104;0,897752393;21,4303733;1,759879677;5,85063892;0,144877815;3,815698752;5,177991087;4,883603707;4,327532112;0,961297334
10;161,67;49,06;6,12;6,259000927;3,449359433;2,853947563;0,06036511;0,141076304;0,392703549;0,003066206;0,032724627;0,08871489;0,024199714;0,188728127;0,049925889;0,018495584;49,80952707;1,211393892;17,36841904;2,421324384;9,013050433;0,20411921;6,851972618;4,385213326;2,637098971;9,49483587;1,244304648
14;161,67;49,06;6,25;6,318928419;3,563517386;2,630184909;0,000118338;0,000225923;0,000317239;0,032530433;0,007571031;0,024264637;0,000382209;0,91251163;0,000913735;0,021164825;65,53732544;0,054391904;19,03868081;0,483353291;1,215499156;0,106722298;1,193805641;1,580293753;10,16952646;0,52815978;0,419378992
16;161,67;49,06;6,3;6,174339977;4,133784669;2,699253395;0,962617407;0,001042478;0,002608684;0,002561695;0,000113696;6,41E-07;0,016898106;0,014096585;1,43E-07;6,06E-05;98,31788123;0,012452335;0,3941281;0,076450141;0,562194452;0,010882631;0,327037823;0,099798882;0,162516415;0,029902925;0,016751064
12;159,68;49,04;6,17;6,160863924;3,370074081;2,910371491;0,070077523;0,008548503;0,521978108;0,001070696;0,003977241;0,302828875;0,002175996;0,000164154;0,084439123;0,004739781;45,99445412;1,807794604;13,5531878;3,610114413;12,15546864;0,237318776;8,49745058;4,053040493;0,945942935;14,81708416;1,985779599
6;155,7;49;6,05;6,135893548;3,380142536;2,92465255;0,009944367;0,000771482;0,456043052;0,01003598;0,000476127;0,000552638;0,160342703;0,338797312;0,002085233;0,020951106;49,73960064;1,312689956;14,84654175;2,746348327;12,60840907;0,262945326;7,46484846;1,230123477;3,988733715;4,169262551;1,131312818
10;153,71;48,98;6,17;5,960397839;3,154114871;3,031641937;1,83E-05;0,010201957;0,789170704;0,019461539;0,011167335;0,021888508;1,07E-05;8,60E-06;0,044848976;0,103223297;38,26352701;2,248970639;16,10033448;4,098909835;15,73035077;0,439165314;9,439529974;2,682201721;0,537362214;11,99610899;1,749252862
4;151,72;48,96;6,01;6,117362547;3,549389009;2,870398548;0,264102634;0,000759331;0,386979175;0,01346562;0,036277071;0,004885471;0,005737373;0,085152129;0,134055438;0,068585757;60,02622486;1,107791823;11,92063005;2,163511432;8,751355272;0,273770613;6,141372925;1,543504944;1,542319718;19,62432927;0,919736395
16;149,73;48,94;6,3;6,148517051;3,880257939;2,65850734;0,608247093;0,000269783;0,016977535;0,01444484;0,001089317;0,004592378;0,004512639;0,283550675;0,066047777;0,000267962;86,03158011;0,061575485;7,332287799;0,226656655;0,61911589;0,027004268;0,565693065;0,551413061;3,362902423;8,343753888;0,17918356
12;147,74;48,92;6,24;6,244440385;3,424305657;2,742961021;0,001709091;0,026491919;0,159186524;0,001459908;5,00E-07;2,68E-05;0,07122466;0,000504827;0,705901211;0,033494528;57,23637974;0,476533003;17,89443889;1,263943131;5,508851343;0,149862129;2,931987901;1,45455867;2,23297781;87,65456577;0,608957111
