h;x;y;pressure;temperature;Q;An;Bi;CPx;Ol;Amf;OPx;Alb;Ort;Gr
10;195,5;49,4;0,2599;200;0,000635555;0,019732966;0,002763406;0,01721465;0,301948385;0,000927323;0,000117797;0,003892955;0,639496975;0,013269988
12;195,5;49,4;0,3124;245,04;2,07E-05;0,007694902;0,002879588;0,851044274;0,000174976;0,000358213;0,067414771;0,033656947;4,34E-06;0,036751282
2;193,51;49,38;0,0518;28,65;0,000132363;0,007312067;0,001436192;0,424658959;0,005947454;0,000499345;0,020495393;0,538383652;0,000451222;0,000683352
4;193,51;49,38;0,1036;53,2;0,007879313;0,000399654;0,002978782;0,071415257;0,003440355;1,51E-05;0,873950944;0,000145993;0,000124816;0,039649767
6;193,51;49,38;0,1555;93,1;0,108669509;0,000124554;0,505944763;1,61E-05;0,001458573;0,050371709;0,001288021;0,281529734;0,000380986;0,050216014
8;193,51;49,38;0,2076;146;0,012353644;0,003368334;0,000267917;0,000254975;0,008586794;0,000231435;0,068361651;0,369498044;0,534534064;0,002543142
10;193,51;49,38;0,2599;200;0,847357243;0,0042632;1,16E-06;0,000369549;0,121488679;1,30E-07;4,35E-07;1,89E-05;0,026496032;4,69E-06
12;193,51;49,38;0,3124;245,04;0,490195073;0,000879387;0,00258471;0,007444864;0,000252162;0,000680043;0,000221355;0,452124414;0,045204702;0,00041329
2;191,52;49,36;0,0518;28,65;0,002525641;0,000909443;0,028963698;0,032864294;0,000267401;0,253051287;0,680068203;0,000259897;0,001069111;2,10E-05
4;191,52;49,36;0,1036;53,2;0,002595101;1,49E-05;0,864969155;0,001119825;0,001430361;0,003542511;0,006532525;0,045523468;0,073233846;0,001038351
6;191,52;49,36;0,1555;93,1;0,026592479;0,759752193;0,032950657;0,023501382;0,005089146;0,05735845;0,030066527;0,025348295;0,034636585;0,004704287
8;191,52;49,36;0,2076;146;0,020986262;0,299348851;0,301497285;0,259159975;0,000902884;0,089431348;0,021244853;0,001203318;0,003669289;0,002555936
10;191,52;49,36;0,2599;200;0,013892115;0,000329608;0,554529242;0,003675384;0,001016335;1,86E-06;0,426494745;6,47E-06;1,42E-05;4,00E-05
12;191,52;49,36;0,3124;245,04;0,068139084;0,876341536;0,000104367;0,004728311;0,008404401;0,002554272;0,039041977;0,000112041;0,000508177;6,58E-05
2;189,53;49,34;0,0518;28,65;9,39E-05;0,382262193;0,048592748;0,000434082;0,390581798;0,000412657;0,001715617;0,16323658;0,002766462;0,009903931
4;189,53;49,34;0,1036;53,2;0,08597185;0,151695508;0,009545262;9,68E-06;8,32E-06;0,009005869;4,54E-05;7,72E-05;1,06E-05;0,743630258
6;189,53;49,34;0,1555;93,1;4,90E-05;3,19E-06;1,69E-06;4,82E-05;1,16E-06;0,355629481;0,640508393;5,55E-05;0,003045732;0,000657688
8;189,53;49,34;0,2076;146;0,008352616;0,695890779;0,193346649;0,00265512;0,000243246;5,76E-06;0,098915036;0,000215237;6,93E-05;0,000306261
10;189,53;49,34;0,2599;200;0,157922235;7,60E-05;0,000171057;0,285139729;0,329841585;0,000421653;0,003915706;0,107173808;0,000703213;0,114634987
12;189,53;49,34;0,3124;245,04;0,008763445;0,130158422;0,059652987;0,000807176;0,115054623;0,486161414;0,001577379;0,181811037;0,013956628;0,002056889
2;187,54;49,32;0,0518;28,65;9,35E-05;0,040005137;0,888938024;0,003337467;0,000529431;0,001832025;0,000431029;7,34E-05;0,00231111;0,062448914
4;187,54;49,32;0,1036;53,2;0,165841279;0,000418213;0,025165172;0,022076848;0,00055966;0,021648104;0,001113674;0,744859376;0,016385599;0,001932076
