h;x;y;Velosity_etalon;efVp;ef_Vs;ro
10;225,35;49,7;6,26;7,265696722;4,101009904;3,040588268
12;225,35;49,7;6,29;7,593600754;4,331714425;3,091364253
2;223,36;49,68;6,09;7,225347877;4,016116832;3,093483279
4;223,36;49,68;6,21;7,463637229;4,209805578;3,09223915
6;223,36;49,68;6,24;7,256422429;4,074441279;3,085857876
8;223,36;49,68;6,26;6,999942307;4,021852517;3,215958959
10;223,36;49,68;6,26;8,287613222;4,722736289;3,29066409
12;223,36;49,68;6,29;7,708020757;4,453795238;3,293803697
2;221,37;49,66;6,09;7,710679502;4,303106551;3,055514163
4;221,37;49,66;6,21;6,587595017;4,228743742;2,81392659
6;221,37;49,66;6,23;7,534083202;4,174871879;3,005883722
8;221,37;49,66;6,25;8,010796071;4,507041512;3,712432409
10;221,37;49,66;6,27;6,5564614;3,707793376;2,873171478
12;221,37;49,66;6,29;6,764728856;3,87717975;3,153217105
2;219,38;49,64;6,09;6,649698128;3,822742787;3,230502831
4;219,38;49,64;6,22;7,312393565;4,358820298;3,494576395
6;219,38;49,64;6,24;7,35951878;4,248414706;3,47245613
8;219,38;49,64;6,26;6,918216498;4,015350417;3,060771092
10;219,38;49,64;6,27;8,028226941;4,643890894;3,324053629
12;219,38;49,64;6,29;7,339128493;4,21745912;3,194138436
2;217,39;49,62;6,1;7,396928871;4,385903002;3,487621332
4;217,39;49,62;6,23;6,95172698;3,861580354;2,847148387
6;217,39;49,62;6,23;7,337049798;4,207812017;3,278908584
8;217,39;49,62;6,25;7,578584157;4,326527;3,19938812
10;217,39;49,62;6,27;6,595175731;3,671453201;2,8188218
12;217,39;49,62;6,29;6,259244938;3,616763242;2,63101458
2;215,4;49,6;6,1;6,554334225;3,615056015;2,877547414
4;215,4;49,6;6,23;7,055697472;4,381112711;3,233161233
6;215,4;49,6;6,23;7,191911105;4,231661943;3,452245962
8;215,4;49,6;6,25;6,341386047;3,406546482;2,989958016
10;215,4;49,6;6,27;6,759157083;3,737552327;2,811714362
12;215,4;49,6;6,29;7,102026855;4,008253573;2,99608321
2;213,41;49,58;6,1;7,535042476;4,217465622;3,565638143
4;213,41;49,58;6,24;6,488844462;4,228834317;2,802302782
6;213,41;49,58;6,24;8,187788018;4,748220195;3,905431972
8;213,41;49,58;6,25;6,849684709;4,137524458;2,97039265
10;213,41;49,58;6,27;7,07875794;3,829875817;2,784871116
12;213,41;49,58;6,29;6,647904354;3,761958321;2,779303638
2;211,42;49,56;6,1;8,17166323;4,690520112;3,871790512
4;211,42;49,56;6,23;7,365114683;4,201455941;3,144774024
6;211,42;49,56;6,23;6,77191278;3,725772091;3,055399184
8;211,42;49,56;6,25;7,698031041;4,503822492;3,320757887
10;211,42;49,56;6,27;7,196565978;4,024855662;3,03732368
12;211,42;49,56;6,29;6,784043733;4,296143952;2,955929378
2;209,43;49,54;6,1;6,70701396;3,787286178;2,79175188
4;209,43;49,54;6,23;7,263719511;4,062850452;3,032840457
6;209,43;49,54;6,23;7,831784281;4,538969064;3,715358108
8;209,43;49,54;6,25;7,172218617;4,062028051;2,958010346
10;209,43;49,54;6,27;7,322623631;4,210878324;3,258123719
12;209,43;49,54;6,29;7,186386509;4,021855314;3,053329002
2;207,44;49,52;6,1;8,122086272;4,631578075;3,255491522
4;207,44;49,52;6,24;8,064517761;4,735728297;3,187102693
6;207,44;49,52;6,24;6,61292533;3,751839414;2,822655535
8;207,44;49,52;6,26;5,907013237;3,303945626;2,896258748
10;207,44;49,52;6,26;6,057487935;3,698283577;2,807852037
12;207,44;49,52;6,28;5,916217372;3,10339416;2,895792296
2;205,45;49,5;6,1;8,150562221;4,689969558;3,875492437
4;205,45;49,5;6,25;7,315552685;4,114000354;3,26000549
6;205,45;49,5;6,25;7,594818879;4,379095172;3,238098954
8;205,45;49,5;6,27;6,871146317;3,785826164;3,102828052
10;205,45;49,5;6,27;6,279225633;3,460959356;2,601810387
12;205,45;49,5;6,29;7,448858036;4,43092854;3,530160756
2;203,46;49,48;6,1;7,120157359;4,338130642;3,310474981
4;203,46;49,48;6,26;7,52535342;4,344556443;3,165350015
6;203,46;49,48;6,26;7,669920659;4,290644116;3,73268587
8;203,46;49,48;6,28;6,872833295;3,692715922;2,825389728
10;203,46;49,48;6,28;6,22076997;3,942588583;2,779474077
12;203,46;49,48;6,29;7,163432753;4,242656331;3,028083056
2;201,47;49,46;6,1;8,406750983;4,811293079;3,26713113
4;201,47;49,46;6,25;6,869235803;4,023387408;3,109064539
6;201,47;49,46;6,25;7,372946508;4,17291121;3,11689607
8;201,47;49,46;6,27;7,213981299;4,089735299;3,173005848
10;201,47;49,46;6,28;7,264727999;4,057974796;3,155261046
12;201,47;49,46;6,28;6,353936279;3,47465078;2,812904969
2;199,48;49,44;6,1;6,764174955;3,675432589;2,988798694
4;199,48;49,44;6,24;5,94290443;3,143878351;2,989505887
6;199,48;49,44;6,24;7,42707612;4,362305707;3,018636387
8;199,48;49,44;6,26;8,392637091;4,731783877;4,027763673
10;199,48;49,44;6,28;6,829454733;3,80847082;2,799085566
12;199,48;49,44;6,28;7,30863674;4,104778858;3,083863936
2;197,49;49,42;6,09;7,932956983;4,591020322;3,170168672
4;197,49;49,42;6,23;7,288728753;4,147713182;3,17327514
6;197,49;49,42;6,24;7,027692805;4,098001689;2,881750242
8;197,49;49,42;6,26;6,221182643;3,388154878;3,080211649
10;197,49;49,42;6,26;7,861599418;4,508719437;3,353764769
12;197,49;49,42;6,29;7,156744352;4,125722142;3,110763871
2;195,5;49,4;6,08;5,73305877;3,232561774;2,851213111
4;195,5;49,4;6,22;7,243752181;4,131092935;3,08043423
6;195,5;49,4;6,24;8,311580655;4,720216356;3,686436097
8;195,5;49,4;6,26;7,101497474;4,431945869;3,100254508
10;195,5;49,4;6,26;6,835642913;3,813706092;2,807234064
12;195,5;49,4;6,28;7,77948561;4,4815732;3,295469452
2;193,51;49,38;6,07;6,918930341;3,955036302;2,891181661
4;193,51;49,38;6,22;7,56118153;4,490876869;3,570727813
6;193,51;49,38;6,23;5,993960502;3,330946153;2,853152279
8;193,51;49,38;6,25;6,31762436;3,536947439;2,637268589
10;193,51;49,38;6,27;6,405174223;4,233772999;2,73955607
12;193,51;49,38;6,29;6,162816656;3,823625717;2,621576006
2;191,52;49,36;6,06;7,384752702;4,321512226;3,411688696
4;191,52;49,36;6,22;5,696484519;2,977245117;2,874611881
6;191,52;49,36;6,24;7,045428507;3,848512934;2,821622426
8;191,52;49,36;6,26;6,782863611;3,730359423;2,986716277
10;191,52;49,36;6,26;6,309018283;3,515786864;3,190641861
12;191,52;49,36;6,28;7,048905278;3,890514617;2,800562238
2;189,53;49,34;6,05;7,373865591;4,101351109;2,951519121
4;189,53;49,34;6,21;8,048364895;4,604924441;3,764524815
6;189,53;49,34;6,23;7,374775328;4,30586412;3,385038671
8;189,53;49,34;6,25;6,829120534;3,699950701;2,87895156
10;189,53;49,34;6,27;7,558044759;4,451907914;3,194051802
12;189,53;49,34;6,29;6,970911544;3,888663983;2,925414472
2;187,54;49,32;6,04;5,778299342;3,014754733;2,978741707
4;187,54;49,32;6,21;6,270770217;3,667188109;2,6130899
6;187,54;49,32;6,23;6,966379921;3,956841684;3,059426262
8;187,54;49,32;6,25;6,945646346;3,918042585;2,923214426
10;187,54;49,32;6,27;7,101232653;4,154570404;3,296028633
12;187,54;49,32;6,29;6,660567796;3,924590986;2,798335568
2;185,55;49,3;6,03;7,52818123;4,286834288;3,23861179
4;185,55;49,3;6,21;6,661587427;3,70876924;2,738853757
6;185,55;49,3;6,25;7,233454324;3,988815857;2,982070256
8;185,55;49,3;6,27;7,866184916;4,628590568;3,759678234
10;185,55;49,3;6,3;6,867613839;4,106607605;3,019254234
12;185,55;49,3;6,34;7,342505852;4,266284467;3,34247831
14;185,55;49,3;6,36;6,533430783;4,140738613;2,801060827
16;185,55;49,3;6,38;7,039607183;3,832926553;2,783545409
2;183,56;49,28;6,02;6,790554108;3,861667321;2,851812546
4;183,56;49,28;6,2;8,545040094;4,833896266;4,023522949
6;183,56;49,28;6,24;6,907134553;3,856151359;3,109819995
8;183,56;49,28;6,26;7,047338596;3,979325098;2,964330872
10;183,56;49,28;6,28;6,443712427;3,485602482;3,31548924
12;183,56;49,28;6,3;6,842660865;3,885056572;2,802642213
14;183,56;49,28;6,32;6,080990341;3,610976762;2,974257669
16;183,56;49,28;6,35;6,346767811;3,46597225;2,784417851
2;181,57;49,26;6;7,895747731;4,483404133;3,227817397
4;181,57;49,26;6,15;6,28497252;4,21696505;2,669510883
6;181,57;49,26;6,24;6,741294076;4,05507769;2,823292319
8;181,57;49,26;6,26;6,335997951;3,576028991;2,619154457
10;181,57;49,26;6,28;8,466265195;4,779364529;4,025049597
12;181,57;49,26;6,3;6,498464486;3,697620258;2,742348076
14;181,57;49,26;6,32;5,722805047;2,988985139;2,900674426
16;181,57;49,26;6,35;5,93718285;3,133444234;2,910407476
2;179,58;49,24;5,98;8,262420261;4,736037138;3,256980311
4;179,58;49,24;6,11;7,337044257;4,209692325;3,29470247
6;179,58;49,24;6,23;7,704928786;4,523268365;3,357732425
8;179,58;49,24;6,25;6,701676233;4,060031638;3,139986892
10;179,58;49,24;6,27;6,55673827;3,649907926;2,743686682
12;179,58;49,24;6,29;7,414848735;4,398336037;3,494133424
14;179,58;49,24;6,3;6,603471058;3,70913119;2,766972508
16;179,58;49,24;6,35;7,629465708;4,436617046;3,354924183
2;177,59;49,22;5,97;6,627928161;4,218362272;2,872531279
4;177,59;49,22;6,08;7,834445136;4,473653574;3,210842571
6;177,59;49,22;6,2;7,489619542;4,46659082;3,54870548
8;177,59;49,22;6,25;7,931772422;4,498133649;3,666209457
10;177,59;49,22;6,29;6,781547963;3,789121487;2,976529747
12;177,59;49,22;6,3;8,369552352;4,760530102;3,896343504
14;177,59;49,22;6,34;7,438968335;4,124445171;3,440264138
16;177,59;49,22;6,38;5,868731288;3,095329976;2,92088991
