h;x;y;Vp;Vpcalc;Vscalc;Ro
2;115,07;99,73;6,39;5,328310609;3,235345076;2,975381528
4;115,07;99,73;6,44;2,6871051;1,380204553;2,906297823
6;115,07;99,73;6,48;6,39936084;3,669770197;3,24473534
8;115,07;99,73;6,53;11,7476852;6,194291092;2,988107356
0;115,07;99,73;6,57;5,185172;3,464531776;2,830136314
2;115,07;99,73;6,62;7,156857941;3,999437488;3,095920623
4;115,07;99,73;6,66;6,478148799;3,556464527;2,949705008
8;115,07;99,73;6,74;5,207622837;3,014005875;3,129740807
0;115,07;99,73;6,78;4,966009736;2,842517053;2,91610531
2;115,07;99,73;6,84;4,167955132;2,419784714;2,942122265
4;115,07;99,73;6,88;7,168470306;3,993506174;3,094162774
8;115,07;99,73;7;5,78306115;3,380443133;3,307692736
1;115,43;97,77;6,24;14,18550428;7,581924887;3,419401291
3;115,43;97,77;6,4;3,247001517;1,868571643;2,663969061
4;115,43;97,77;6,46;5,933386403;3,480518307;3,197103547
5;115,43;97,77;6,07;1,719599853;0,626490793;2,951505298
6;115,43;97,77;6,14;6,212641534;3,54775905;3,180006557
8;115,43;97,77;6,27;4,749380369;2,861996739;3,073971749
0;115,43;97,77;6,33;6,949662835;3,908886466;3,080331493
2;115,43;97,77;6,39;5,26182745;2,984723137;3,067395587
4;115,43;97,77;6,44;6,471931794;3,763923779;3,214352391
8;115,43;97,77;6,53;2,699642417;1,595912811;2,625917411
0;115,43;97,77;6,57;6,508134258;3,750968485;3,212206487
4;115,43;97,77;6,66;7,527706443;4,231876739;3,166960074
6;115,43;97,77;6,7;6,633485201;3,548417207;2,700612561
8;115,43;97,77;6,74;8,084954155;4,467629815;2,837630091
2;115,43;97,77;6,84;8,267131979;4,536519771;3,050720617
4;115,43;97,77;6,88;5,594766351;2,92675363;2,871885096
6;115,43;97,77;6,94;7,45700906;3,984427117;2,75111862
4;115,8;95,8;6,45;4,534503525;2,613593016;2,886642825
6;115,8;95,8;6,15;6,043349252;3,508693875;3,068556307
8;115,8;95,8;6,27;4,285708243;2,502303913;2,819670058
0;115,8;95,8;6,33;9,682787;5,360556722;3,260101959
2;115,8;95,8;6,39;7,158361489;3,803444798;2,709213694
4;115,8;95,8;6,44;3,907402739;2,311773778;2,789848366
6;115,8;95,8;6,48;6,444837789;3,840772483;3,512217267
8;115,8;95,8;6,53;5,7846283;3,30034014;3,069549743
0;115,8;95,8;6,57;5,759998903;3,168280161;3,053741235
2;115,8;95,8;6,62;7,112051795;4,171022634;3,411403782
4;115,8;95,8;6,66;17,53405836;8,627307832;2,938053593
6;115,8;95,8;6,7;8,801443766;4,807402596;3,019969492
8;115,8;95,8;6,74;18,30714123;8,109457399;2,935673351
0;115,8;95,8;6,78;8,633897108;4,731755765;3,078905839
4;115,8;95,8;6,88;3,06573806;2,06894357;2,806771937
6;115,8;95,8;6,94;4,079614591;2,280125434;2,827578458
8;115,8;95,8;7;5,426888783;3,23599777;2,85068748
1;116,17;93,83;6,23;6,01523942;3,493687492;3,177478529
2;116,17;93,83;6,31;4,819497137;2,708801879;3,032791722
3;116,17;93,83;6,36;7,510631547;4,047698785;2,891124889
5;116,17;93,83;6,07;3,691773969;2,150398911;2,629189131
8;116,17;93,83;6,27;5,521948166;3,343722653;3,203760314
0;116,17;93,83;6,34;6,035501996;3,522782334;3,339289244
